pair,pearson_r,pearson_p,spearman_rho,spearman_p
S&P vs Sustainalytics,-0.16259428368305923,0.42742894618364263,0.02104362733963032,0.9187283869909155
S&P vs MSCI,0.2507055962889558,0.21670876460280342,0.266472012655915,0.18821990670548813
Sustainalytics vs MSCI,0.28512902347411023,0.15798470420836636,0.2949463288759288,0.1435381221850108
MEAN,0.12441344536000226,,0.1941539896238247,
